Frequency(Hz),Current(A),RPM,Voltage(V),VFD_Temp(C),ApparentPower(VA),LoadFriction(A/Hz),CoolingEfficiency(C/VA),TorqueEst,State_Label
0.1,0.0,3.0,315.0,30.0,0.0,0.0,0.0,0.0,0
0.2,0.0,6.0,315.0,30.0,0.0,0.0,0.0,0.0,0
0.4,0.0,12.0,317.0,31.0,0.0,0.0,0.0,0.0,0
0.5,0.0,15.0,316.0,31.0,0.0,0.0,0.0,0.0,0
0.3,0.0,9.0,315.0,30.0,0.0,0.0,0.0,0.0,0
0.6,0.1,18.0,316.0,33.0,31.6,0.1667,1.0443,52.67,0
0.7,0.3,21.0,314.0,39.0,94.2,0.4286,0.414,134.57,0
0.8,0.5,24.0,313.0,41.0,156.5,0.625,0.262,195.62,0
0.9,0.8,27.0,314.0,44.0,251.2,0.8889,0.1752,279.11,0
1.0,1.1,30.0,312.0,50.0,343.2,1.1,0.1457,343.2,0
1.1,1.2,33.0,312.0,49.0,374.4,1.0909,0.1309,340.36,0
1.2,1.2,36.0,312.0,51.0,374.4,1.0,0.1362,312.0,0
1.3,1.2,39.0,313.0,48.0,375.6,1.0,0.1278,313.0,0
1.4,1.2,42.0,313.0,42.0,375.6,0.8571,0.1118,268.29,0
1.5,1.2,45.0,312.0,44.0,374.4,0.8,0.1175,249.6,0
1.6,1.3,48.0,312.0,50.0,405.6,0.8125,0.1233,253.5,0
1.7,1.3,51.0,312.0,52.0,405.6,0.7647,0.1282,238.59,0
1.8,1.3,54.0,312.0,54.0,405.6,0.7222,0.1331,225.33,0
1.9,1.3,57.0,311.0,56.0,404.3,0.6842,0.1385,212.79,0
2.0,1.5,60.0,310.0,58.0,465.0,0.75,0.1247,232.5,0
2.1,1.6,63.0,314.0,35.0,502.4,0.7619,0.0697,239.24,0
2.2,1.6,66.0,314.0,39.0,502.4,0.7273,0.0776,228.36,0
2.3,1.6,69.0,313.0,41.0,500.8,0.6957,0.0819,217.74,0
2.4,1.6,72.0,313.0,44.0,500.8,0.6667,0.0879,208.67,0
2.5,1.6,75.0,314.0,50.0,502.4,0.64,0.0995,200.96,0
2.6,1.6,78.0,314.0,50.0,502.4,0.6154,0.0995,193.23,0
2.7,1.6,81.0,314.0,51.0,502.4,0.5926,0.1015,186.07,0
2.8,1.6,84.0,315.0,54.0,504.0,0.5714,0.1071,180.0,0
2.9,1.6,87.0,315.0,55.0,504.0,0.5517,0.1091,173.79,0
3.0,1.6,90.0,316.0,57.0,505.6,0.5333,0.1127,168.53,0
3.1,1.6,93.0,314.0,59.0,502.4,0.5161,0.1174,162.06,0
3.2,1.6,96.0,315.0,59.0,504.0,0.5,0.1171,157.5,0
3.3,1.6,99.0,314.0,60.0,502.4,0.4848,0.1194,152.24,0
3.4,1.7,102.0,316.0,27.0,537.2,0.5,0.0503,158.0,0
3.5,1.7,105.0,317.0,35.0,538.9,0.4857,0.0649,153.97,0
3.6,1.7,108.0,317.0,40.0,538.9,0.4722,0.0742,149.69,0
3.7,1.7,111.0,315.0,49.0,535.5,0.4595,0.0915,144.73,0
3.8,1.7,114.0,315.0,53.0,535.5,0.4474,0.099,140.92,0
3.9,1.7,117.0,315.0,56.0,535.5,0.4359,0.1046,137.31,0
4.0,1.7,120.0,315.0,62.0,535.5,0.425,0.1158,133.88,0
4.1,1.7,123.0,317.0,63.0,538.9,0.4146,0.1169,131.44,0
4.2,1.6,126.0,317.0,67.0,507.2,0.381,0.1321,120.76,0
4.3,1.7,129.0,316.0,57.0,537.2,0.3953,0.1061,124.93,0
4.4,1.6,132.0,318.0,63.0,508.8,0.3636,0.1238,115.64,0
4.5,1.7,135.0,318.0,68.0,540.6,0.3778,0.1258,120.13,0
