Timestamp,Frequency(Hz),Current(A),RPM,Voltage(V),VFD_Temp(C),ApparentPower(VA),LoadFriction(A/Hz),CoolingEfficiency(C/VA),TorqueEst
4/9/2026 18:13,0.1,0,3,315,30,0,0,0,0
4/9/2026 18:14,0.2,0,6,315,30,0,0,0,0
4/9/2026 18:15,0.4,0,12,317,31,0,0,0,0
4/9/2026 18:16,0.5,0,15,316,31,0,0,0,0
4/9/2026 18:17,0.3,0,9,315,30,0,0,0,0
4/9/2026 18:18,0.6,0.1,18,316,33,31.6,0.1667,1.0443,52.67
4/9/2026 18:20,0.7,0.3,21,314,39,94.2,0.4286,0.414,134.57
4/9/2026 18:21,0.8,0.5,24,313,41,156.5,0.625,0.262,195.62
4/9/2026 18:22,0.9,0.8,27,314,44,251.2,0.8889,0.1752,279.11
4/9/2026 18:24,1,1.1,30,312,50,343.2,1.1,0.1457,343.2
4/9/2026 18:26,1.1,1.2,33,312,49,374.4,1.0909,0.1309,340.36
4/9/2026 18:27,1.2,1.2,36,312,51,374.4,1,0.1362,312
4/9/2026 18:30,1.3,1.2,39,313,48,375.6,1,0.1278,313
4/9/2026 18:34,1.4,1.2,42,313,42,375.6,0.8571,0.1118,268.29
4/9/2026 18:35,1.5,1.2,45,312,44,374.4,0.8,0.1175,249.6
4/9/2026 18:37,1.6,1.3,48,312,50,405.6,0.8125,0.1233,253.5
4/9/2026 18:38,1.7,1.3,51,312,52,405.6,0.7647,0.1282,238.59
4/9/2026 18:39,1.8,1.3,54,312,54,405.6,0.7222,0.1331,225.33
4/9/2026 18:40,1.9,1.3,57,311,56,404.3,0.6842,0.1385,212.79
4/9/2026 18:42,2,1.5,60,310,58,465,0.75,0.1247,232.5
4/9/2026 18:52,2.1,1.6,63,314,35,502.4,0.7619,0.0697,239.24
4/9/2026 18:53,2.2,1.6,66,314,39,502.4,0.7273,0.0776,228.36
4/9/2026 18:56,2.3,1.6,69,313,41,500.8,0.6957,0.0819,217.74
4/9/2026 18:57,2.4,1.6,72,313,44,500.8,0.6667,0.0879,208.67
4/9/2026 18:58,2.5,1.6,75,314,50,502.4,0.64,0.0995,200.96
4/9/2026 18:59,2.6,1.6,78,314,50,502.4,0.6154,0.0995,193.23
4/9/2026 19:00,2.7,1.6,81,314,51,502.4,0.5926,0.1015,186.07
4/9/2026 19:01,2.8,1.6,84,315,54,504,0.5714,0.1071,180
4/9/2026 19:03,2.9,1.6,87,315,55,504,0.5517,0.1091,173.79
4/9/2026 19:04,3,1.6,90,316,57,505.6,0.5333,0.1127,168.53
4/9/2026 19:05,3.1,1.6,93,314,59,502.4,0.5161,0.1174,162.06
4/9/2026 19:06,3.2,1.6,96,315,59,504,0.5,0.1171,157.5
4/9/2026 19:07,3.3,1.6,99,314,60,502.4,0.4848,0.1194,152.24
4/9/2026 22:27,3.4,1.7,102,316,27,537.2,0.5,0.0503,158
4/9/2026 22:28,3.5,1.7,105,317,35,538.9,0.4857,0.0649,153.97
4/9/2026 22:29,3.6,1.7,108,317,40,538.9,0.4722,0.0742,149.69
4/9/2026 22:30,3.7,1.7,111,315,49,535.5,0.4595,0.0915,144.73
4/9/2026 22:31,3.8,1.7,114,315,53,535.5,0.4474,0.099,140.92
4/9/2026 22:33,3.9,1.7,117,315,56,535.5,0.4359,0.1046,137.31
4/9/2026 22:34,4,1.7,120,315,62,535.5,0.425,0.1158,133.88
4/9/2026 22:36,4.1,1.7,123,317,63,538.9,0.4146,0.1169,131.44
4/9/2026 22:37,4.2,1.6,126,317,67,507.2,0.381,0.1321,120.76
4/9/2026 22:46,4.3,1.7,129,316,57,537.2,0.3953,0.1061,124.93
4/9/2026 22:47,4.4,1.6,132,318,63,508.8,0.3636,0.1238,115.64
4/9/2026 22:48,4.5,1.7,135,318,68,540.6,0.3778,0.1258,120.13
4/9/2026 22:49,4.6,1.6,138,318,73,508.8,0.3478,0.1435,110.61
4/9/2026 22:53,4.7,1.7,141,319,67,542.3,0.3617,0.1235,115.38
4/9/2026 23:01,4.8,1.7,144,312,48,530.4,0.3542,0.0905,110.5
4/9/2026 23:02,4.9,1.7,147,312,51,530.4,0.3469,0.0962,108.24
4/9/2026 23:04,5,1.7,150,310,54,527,0.34,0.1025,105.4
4/10/2026 7:10,5.1,1.7,153,318,26,540.6,0.3333,0.0481,106
